id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_klbi,jenis_usaha,jumlah_umkm,satuan,tahun
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20,INDUSTRI BAHAN KIMIA DAN BARANG KIMIA LAINNYA,33.0,USAHA,2024
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21,INDUSTRI FARMASI DAN OBAT TRADISIONAL,10.0,USAHA,2024
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,22,"INDUSTRI KARET, BARANG DARI KARET DAN PLASTIK",147.0,USAHA,2024
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,23,INDUSTRI BARANG GALIAN BUKAN LOGAM,12.0,USAHA,2024
109,32,JAWA BARAT,3278,KOTA TASIKMALAYA,24,INDUSTRI LOGAM DASAR,1.0,USAHA,2024
110,32,JAWA BARAT,3278,KOTA TASIKMALAYA,25,"INDUSTRI BARANG LOGAM, BUKAN MESIN DAN PERALATANNYA",32.0,USAHA,2024
111,32,JAWA BARAT,3278,KOTA TASIKMALAYA,26,"INDUSTRI KOMPUTER, BARANG ELEKTRONIK DAN OPTIK",11.0,USAHA,2024
112,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27,INDUSTRI PERALATAN LISTRIK,4.0,USAHA,2024
113,32,JAWA BARAT,3278,KOTA TASIKMALAYA,28,INDUSTRI MESIN DAN PERLENGKAPAN,25.0,USAHA,2024
114,32,JAWA BARAT,3278,KOTA TASIKMALAYA,29,"INDUSTRI ALAT ANGKUTAN LAINNYA (MOBIL, MOTOR, DSB)",1.0,USAHA,2024
115,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30,"INDUSTRI ALAT ANGKUTAN LAINNYA (KAPAL, PESAWAT, DSB)",2.0,USAHA,2024
116,32,JAWA BARAT,3278,KOTA TASIKMALAYA,31,INDUSTRI FURNITUR,33.0,USAHA,2024
117,32,JAWA BARAT,3278,KOTA TASIKMALAYA,32,INDUSTRI PENGOLAHAN LAINNYA,11.0,USAHA,2024
118,32,JAWA BARAT,3278,KOTA TASIKMALAYA,33,REPARASI DAN PEMASANGAN MESIN DAN PERALATAN,15.0,USAHA,2024
119,32,JAWA BARAT,3278,KOTA TASIKMALAYA,35,"PENGADAAN TENAGA LISTRIK, GAS, UAP/AIR PANAS",2.0,USAHA,2024
120,32,JAWA BARAT,3278,KOTA TASIKMALAYA,36,TREATMENT AIR,0.0,USAHA,2024
121,32,JAWA BARAT,3278,KOTA TASIKMALAYA,37,TREATMENT AIR LIMBAH,0.0,USAHA,2024
